年度,学科／研究科,研究室,学籍番号,賞,氏名,要旨,題目
H17,情報科学科,相研,,,,,WEBページにおけるユーザビリティの追及
H17,情報科学科,松永研,,,,,安全運転管理教育システム(ASSIST)における複数カメラ使用での交通事故防止対策
H17,情報科学科,宮崎研,,,,,電子透かしの体制に関する検討 -加重平均フィルタ・メディアンフィルタの場合-
H17,情報科学科,成研,,,,,対面教育を支援するためのウェブ助言システム
H17,情報科学科,石田健研,,,,,衛星通信検討のための気象データの解析-2002年のデータ解析-
H17,情報科学科,中野研,,,,,手書き漢字認識装置の性能調査
H17,情報科学科,仲研,,,,,生化学反応シミュレータの比較評価
H17,情報科学科,澤田研,,,,,FPGAを搭載したロボット教材のためのIPとしてKUE-CHIP2の検討
H17,情報科学科,中野研,,,,,手の輪郭を用いた生体認証に関する研究
H17,情報科学科,石田健研,,,,,重畳積文法によるX線CTの画像再構成-Shepp-Loganのフィルタ関数の適用-
H17,情報科学科,稲永研,,,,,空港における目的地への交通手段検索システムの開発
H17,情報科学科,合志研,,,,,人の反応・判断能力測定用ドライビングシミュレータ
H17,情報科学科,米元研,,,,,拡張現実感のための実物体の奥行きを考慮した陰面消去
H17,情報科学科,石田健研,,,,,衛星通信検討のための気象データの解析-2001年のデータ解析-
H17,情報科学科,合志研,,,,,安全運転管理教育システム(ASSIST)における通信方法の研究
H17,情報科学科,朝廣研,,,,,問題及び選択肢をランダムに並び替えるCBTシステム
H17,情報科学科,牛島研,,,,,RFID導入におけるプライバシー問題とセキュリティ問題
H17,情報科学科,牛島研,,,,,電力計測に基づく省エネルギー対策の立案
H17,情報科学科,下川研,,,,,動画像通信システムの運用技術
H17,情報科学科,安部研,,,,,組み合わせ最適化問題に対するメタヒューリスティクスの実験的解析(1)局所探索系手法の適応-基本的性能評価-
H17,情報科学科,牛島研,,,,,小規模小売店用グループウェアの開発
H17,情報科学科,下川研,,,,,サーバ選択機構における有効な選択ポリシー
H17,情報科学科,米元研,,,,,遺伝的アルゴリズムを用いた二次元図形の抽出とジグソーパズルへの応用
H17,情報科学科,松永研,,,,,立体視のできるドライビングシミュレータに関する研究
H17,情報科学科,稲永研,,,,,RSSを容易に作成するWebサイトの開発
H17,情報科学科,中野研,,,,,OCR機能を用いたマークシート読み取り
H17,情報科学科,アプドゥハン研,,,,,位置依存モバイルコンピューティングシミュレーション環境の構築
H17,情報科学科,松永研,,,,,ビデオカメラによる距離計測に関する研究
H17,情報科学科,アプドゥハン研,,,,,非同期型P2Pグリッドコンピューティングの設計に関する研究
H17,情報科学科,花野井研,,,,,VBによる風景写真からの交通標識の抽出
H17,情報科学科,廣田研,,,,,ユースケース図と状態遷移図からERモデルへの変換支援ツール
H17,情報科学科,廣田研,,,,,システム開発演習用例題システムの改造
H17,情報科学科,宮崎研,,,,,一方向ハッシュSha1による個人ID生成システムの研究開発
H17,情報科学科,有田研,,,,,出席管理システムの設計と実装
H17,情報科学科,稲永研,,,,,企業・商品情報の発信と会員登録システム機能を持ったモバイルサイトの開発
H17,情報科学科,坂本研,,,,,ゲノム情報解析への言語処理手法の応用
H17,情報科学科,成研,,,,,RFID無人レジシステムの試作
H17,情報科学科,成研,,,,,対面教育を支援するためのe-learningシステムの開発
H17,情報科学科,合志研,,,,,安全運転管理教育システム(ASSIST)における交差点位置情報データベース構築
H17,情報科学科,相研,,,,,Fedora Core4サーバ構築と管理ーサーバの安全性について
H17,情報科学科,アプドゥハン研,,,,,セマンティックグリッドシミュレーションに関する研究
H17,情報科学科,牛島研,,,,,個人経営の小売店のIT支援
H17,情報科学科,有田研,,,,,IDカードを用いたロッカーキー管理システム
H17,情報科学科,仲研,,,,,Mathematicaによる生態系シミュレーション
H17,情報科学科,花野井研,,,,,画像データベースシステムの設計開発
H17,情報科学科,成研,,,,,履修計画作成支援システム
H17,情報科学科,中野研,,,,,オンライン文字データベースの解析
H17,情報科学科,澤田研,,,,,ハードウェア間通信の概念を理解させるための信号機を題材とした実験カリキュラム開発~TTL ICを用いた実験~
H17,情報科学科,澤田研,,,,,学生実験のための自動販売機の教材化～商品押し出し部の改造～
H17,情報科学科,中野研,,,,,名刺読取装置の性能分析
H17,情報科学科,牛島研,,,,,ＲＦＩＤ導入時に考えられる課題と解決
H17,情報科学科,相研,,,,,携帯電話における出席管理システムの構築
H17,情報科学科,牛島研,,,,,電力計測に基づく省エネルギー対策の立案
H17,情報科学科,廣田研,,,,,システム開発演習の企画
H17,情報科学科,稲永研,,,,,交通機関の時刻表情報を含んだQRコード作成ツールの開発
H17,情報科学科,相研,,,,,Linuxサーバの構築と管理及びサーバ内のオリジナルアプリケーションの設置と運用――携帯電話における講義出席確認システム
H17,情報科学科,稲永研,,,,,汎用WEBアンケート作成支援システムの開発
H17,情報科学科,中野研,,,,,バイオメトリクス個人認証システムの活用について
H17,情報科学科,朝廣研,,,,,一次方程式と二次方程式の学習のためのCBTシステム作成
H17,情報科学科,アプドゥハン研,,,,,セマンティック・グリッドにおけるグリッド・ポータルに関する研究
H17,情報科学科,安部研,,,,,組合せ最適化問題に対するメタヒューリスティクスの実験的解析　(3)タブーサーチの適用－近傍とパラメータの検討－
H17,情報科学科,澤田研,,,,,FPGA教材のプロトタイプとしてのPICを用いたロボットの設計
H17,情報科学科,下川研,,,,,講義記録システムのアクセス解析
H17,情報科学科,有田研,,,,,KERNELⅠ IO装置の設計と実装
H17,情報科学科,花野井研,,,,,交通標識抽出アルゴリズムの評価と検討
H17,情報科学科,合志研,,,,,出会頭事故防止教育用ドライビングシミュレータにおける道路環境の構築
H17,情報科学科,松本研,,,,,PC版と携帯版の転籍届出システムの試作とその実用性の検討
H17,情報科学科,有田研,,,,,組込みシステム／VLSI工学教育用システムレベル設計教材の設計開発
H17,情報科学科,斉藤研,,,,,組合せ最適化問題に対するメタヒューリスティクスの実験的解析　(2)シミュレーテッド・アニーリングの適用－パラメータの検討－
H17,情報科学科,松永研,,,,,自動車の運転行動記録データの集計に関する研究
H17,情報科学科,仲研,,,,,ウェブマセマティカによる生化学シミュレーションウェブサイトの試作
H17,情報科学科,稲永研,,,,,PC向けWEBページを簡略化したモバイルWEBページ更新システムの開発
H17,情報科学科,下川研,,,,,ネットワーク接続情報を用いた研究時間記録システム
H17,情報科学科,安部研,,,,,組合せ最適化問題に対するメタヒューリスティクスの実験的解析　(3)タブーサーチの適用－基本的性能評価－
H17,情報科学科,松本研,,,,,電子教材を使用したUML学習効果の研究
H17,情報科学科,石田健研,,,,,衛星通信検討のための気象データの解析―2003年のデータ解析―
H17,情報科学科,安部研,,,,,組合せ最適化問題に対するメタヒューリスティクスの実験的解析　(2)シミュレーテッド・アニーリングの適用－基本的性能評価－
H17,情報科学科,宮崎研,,,,,DES暗号の安全性に関する一考察
H17,情報科学科,稲永研,,,,,各種メディアを利用したアンケートによる意見集約方法の研究
H17,情報科学科,相研,,,,,Fedora Core 4 サーバ構築と管理――WebDAVについて
H17,情報科学科,宮崎研,,,,,DES暗号の安全性に関する一考察
H17,情報科学科,アプドゥハン研,,,,,クラスタコンピューティング教育支援環境のプログラムモニタリングに関する研究
H17,情報科学科,成研,,,,,RFID無人レジシステムにおけるデータベース配置問題の研究
H17,情報科学科,安部研,,,,,組合せ最適化問題に対するメタヒューリスティクスの実験的解析　(3)タブーサーチの適用－近傍構成の検討－
H17,情報科学科,米元研,,,,,Web上での企業情報収集システムの開発
H17,情報科学科,松本研,,,,,VB6.0で作成した家計簿システム
H17,情報科学科,成研,,,,,Webサイトの利用状況を考慮した情報検索サービス
H17,情報科学科,廣田研,,,,,UMLクラス図学習補助ツールの試作
H17,情報科学科,松本研,,,,,CGにおける表現手法の新しい活用
H17,情報科学科,中野研,,,,,人間に読み取りやすく機械に読み取りにくい文字の研究
H17,情報科学科,松永研,,,,,複数画面による出会頭事故防止教育用ドライビングシミュレータ
H17,情報科学科,坂本研,,,,,ＭＶＣモデルに基づくＤＮＡデータベースシステムの構築
H17,情報科学科,安部研,,,,,組合せ最適化問題に対するメタヒューリスティクスの実験的解析　(2)シミュレーテッド・アニーリングの適用－近傍構成の検討－
H17,情報科学科,松本研,,,,,アパレル業界におけるプロセスモデリングとシミュレーション
H17,情報科学科,坂本研,,,,,タンパク質の立体構造と機能予測
H17,情報科学科,有田研,,,,,PICリアルタイムモニタのためのデバイスハンドラの開発
H17,情報科学科,仲研,,,,,数値計算・数式処理ソフトの調査と生化学反応シミュレーションによる評価
H17,情報科学科,朝廣研,,,,,キーボードによる演奏の正誤判定システム
H17,情報科学科,朝廣研,,,,,ギターで演奏されたＭＩＤＩデータをタブ譜に変換する自動採譜プログラム
H17,情報科学科,稲永研,,,,,待ち時間と施設情報を提供するモバイルサイトの開発
H17,情報科学科,一ノ瀬研,,,,,聴覚に対する意識および年齢層とDelayed Auditory Feedbackの影響との関係について
H17,情報科学科,一ノ瀬研,,,,,音声による個人の識別に関する検討
H17,情報科学科,一ノ瀬研,,,,,声道模型の音響特性の測定
H17,情報科学科,有田研,,,,,教育用計算機KERNELⅠ シミュレータの設計と実装
H17,情報科学科,合志研,,,,,貨物輸送における品質管理システムの研究
H17,情報科学科,石田健研,,,,,重畳積分によるX線CTの画像再構成 -Ramachandran-Lakshminarayananフィルタ関数の適用-
H17,情報科学科,廣田研,,,,,システム開発演習用例題の開発
H17,情報科学科,石田健研,,,,,フィルタ補正逆投影法によるX線CTの画像再構成
H17,情報科学科,廣田研,,,,,UMLクラス図からリレーションスキーマへの変換支援ツール
H17,情報科学科,花野井研,,,,,画像処理研究支援プログラム
H17,情報科学科,一ノ瀬研,,,,,画像処理ソフトImage Jを用いた声道の断面積関数の計測
H17,情報科学科,一ノ瀬研,,,,,ＭＲＩデータを用いた３次元声道模型の製作
H17,情報科学科,米元研,,,,,固有空間法による物体認識
H17,情報科学科,澤田研,,,,,実機の制御を基にしたソフトウェア実験カリキュラムの開発
H17,情報科学科,仲研,,,,,仲研究室ウェブサイトの試作
H17,情報科学科,一ノ瀬研,,,,,有限要素法を用いたパイプ型声道モデルの伝達関数の算出
H17,情報科学科,仲研,,,,,マセマティカを使った囚人のジレンマトーナメントプログラムの作成と応用
H17,情報科学科,花野井研,,,,,C言語による高速画像処理
H17,情報科学科,下川研,,,,,コンテンツ管理システムを用いた研究室内での情報共有
H17,情報科学科,澤田研,,,,,迷路を題材としたロボット教材によるプログラミング教育の研究
H17,情報科学科,有田研,,,,,H8リアルタイムモニターのためのデバイスドライバの開発
H17,情報科学科,石田健研,,,,,ＦＤＴＤ法による電磁波伝搬のアニメーション作成
H17,情報科学科,仲研,,,,,Excelを利用した生化学反応シミュレータの試作
H17,情報科学科,一ノ瀬研,,,,,Perl・CGIによるオンラインテスト管理システムの開発
H17,情報科学科,宮崎研,,,,,擬似乱数生成器による個人ID生成システムの研究開発
H17,情報科学科,仲研,,,,,マセマティカを用いた生化学反応拡散系の格子ガスオートマトンによるシミュレーション
H17,情報科学科,安部研,,,,,組合せ最適化問題に対するメタヒューリスティクスの実験的解析　(1)局所探索系手法の適用－近傍構成の検討－
H17,情報科学科,朝廣研,,,,,リバーシの接待プログラムに向けた盤面評価係数の強化学習
H17,情報科学科,下川研,,,,,講義時間を対象としたネットワークアクセス制御システムの開発
H17,情報科学科,成研,,,,,イベント運営支援システムにおける参加者用機能の開発
H17,情報科学科,合志研,,,,,携帯電話のメール機能を利用した安全運転の管理・教育法の研究
H17,情報科学科,米元研,,,,,３次元車両モデルを用いた車両検出
H17,情報科学科,澤田研,,,,,ハードウェア間通信の概念を理解させるための信号機を題材とした実験カリキュラム開発～Verilog HDLを用いた実験～
H17,情報科学科,松本研,,,,,Excel で作成した家計簿システム
H17,情報科学科,朝廣研,,,,,プログラミング初心者のためのRobocode体験支援ソフトウェア
H17,情報科学科,坂本研,,,,,遺伝子比較によるヒト独自遺伝子の推定
H17,情報科学科,廣田研,,,,,例題によるデータベーススキーマ設計手法の比較検討
H17,情報科学科,下川研,,,,,Webを用いた出席調査システムの構築
H17,情報科学科,安部研,,,,,組合せ最適化問題に対するメタヒューリスティクスの実験的解析　(1)局所探索系手法の適用－多スタート法、誘導局所探索法－
H17,情報科学科,花野井研,,,,,画像データベースシステムの設計開発
H17,情報科学科,一ノ瀬研,,,,,有限要素法を用いたプレート型声道モデルの伝達関数の算出
H17,情報科学科,米元研,,,,,視体積交差法を用いた３次元形状の復元
H17,情報科学科,下川研,,,,,DNSのキャッシュ機能の挙動に関する調査
H17,情報科学科,坂本研,,,,,バイオインフォマティクスにおけるＰＣグリッド並列処理技術の適用
H17,情報科学科,坂本研,,,,,オーダーメイド医療における薬物投与最適化の解析
H17,情報科学科,澤田研,,,,,学生実験のための自動販売機の教材化～金銭投入部の改造～
H17,情報科学科,石田健研,,,,,FDTD法を利用した電磁波伝搬シミュレータの作成
H17,情報科学科,松永研,,,,,安全運転管理教育システム（ASSIST）における自己管理のための警報機能の開発
H17,情報科学科,松本研,,,,,電子商取引における業務プロセスベースの情報化
H17,情報科学科,松永研,,,,,自動車の運転における出会頭事故防止教育用ドライビングシミュレータの開発
H17,情報科学科,成研,,,,,イベント運営支援システムにおけるセンサネットワークの利用
H17,情報科学科,成研,,,,,イベント運営支援システムにおける運営スタッフ用機能の開発
H17,情報科学科,松永研,,,,,足型測定器におけるカメラ画像の取り込みソフトウエア開発
H17,情報科学科,宮崎研,,,,,電子透かしの耐性に関する検討　－JPEG・正方形低域フィルタ処理の場合－
H17,情報科学科,花野井研,,,,,交通標識自動認識フローの立案・作成
H17,情報科学科,松永研,,,,,Linux上でのJAVA言語による安全運転管理教育システム（ASSIST）用サーバの開発
H17,情報科学科,アプドゥハン研,,,,,クラスタコンピューティング教育支援環境のインターフェイスに関する研究
H17,情報科学科,坂本研,,,,,クローン技術の有用性と問題点に関する考察
H17,情報科学科,稲永研,,,,,eラーニングシステムの事例調査とオンラインレポート導入支援機能の開発
H17,情報科学科,一ノ瀬研,,,,,２足歩行ロボットの音声制御の検討
H17,情報科学科,有田研,,,,,電気錠システムの整備
H17,情報科学科,宮崎研,,,,,電子透かしの耐性に関する検討　－円形低域フィルタ・エッジ強調の場合－
H17,情報科学科,中野研,,,,,ＧＰＳ機能を用いたＧＩＳの問題点解析
H17,情報科学科,相研,,,,,Fedora Core 4 によるWebサーバのセキュリティー強化
H17,情報科学科,花野井研,,,,,盲導ロボットの検討と風景写真の収集
H17,情報科学科,下川研,,,,,情報科学部における統合認証システムの構築
H17,情報科学科,花野井研,,,,,VBによる風景写真からの交通標識の抽出
H18,情報科学科,有田研,,,,,KERNELⅠ後継機『KERNEL 改 』の研究
H18,情報科学科,有田研,,,,,電気錠の利便性向上のためのセンサーシステムの設計と開発
H18,情報科学科,宮崎研,,,,,RFIDタグを用いた出席調査システム
H18,情報科学科,坂本研,,,,,遺伝子発現情報データベースによる代謝制御機構の解析
H18,情報科学科,廣田研,,,,,要求仕様書とソフトウェア品質の相関ーアンケート結果の分析－
H18,情報科学科,松本研,,,,,音楽配信システムにおけるビジネスプロセスの検討
H18,情報科学科,牛島研,,,,,ITに基づく内部統制の事例研究
H18,情報科学科,アプドゥハン研,,,,,車椅子使用者向け地図情報ナビゲーションの試作
H18,情報科学科,石田健研,,,,,マルチビーム型衛星通信のビーム電力制御による降雨減衰補償
H18,情報科学科,米元研,,,,,ナンバープレートの位置検出と数字の認識
H18,情報科学科,仲研,,,,,卒業研究の週間報告の電子化
H18,情報科学科,廣田研,,,,,Excel VBAによるプログラミング教育
H18,情報科学科,廣田研,,,,,PSPのシステム開発演習への適用計画
H18,情報科学科,牛島研,,,,,二分探索プログラムの実行解析
H18,情報科学科,石田健研,,,,,Particle Swarm Optimization による最適解の探索シミュレーション
H18,情報科学科,アプドゥハン研,,,,,クラスタコンピューティング教育支援環境監視管理システムの検討
H18,情報科学科,合志研,,,,,FM多重D-GPSの位置補正の効果
H18,情報科学科,牛島研,,,,,電力計測に基づく省エネルギー対策の立案
H18,情報科学科,朝廣研,,,,,論理演算子を学習するための個人成績管理機能付きCBTシステム
H18,情報科学科,安部研,,,,,ビークルルーティング問題に対する多点探索型タブーサーチの適用
H18,情報科学科,花野井研,,,,,人に読み取り易く機械に読み取りにくい文字の研究
H18,情報科学科,相研,,,,,Webページにおける表現方法の追求
H18,情報科学科,宮崎研,,,,,学生の情報資産とISMSによるリスクアセスメント
H18,情報科学科,松本研,,,,,ポイント報酬型映像配信システムの試作と評価
H18,情報科学科,花野井研,,,,,手書き漢字認識装置の性能調査
H18,情報科学科,坂本研,,,,,タンパク質配列解析法によるＲＮＡ分解酵素群の立体構造比較
H18,情報科学科,牛島研,,,,,研究室向け研究報告機能の開発
H18,情報科学科,牛島研,,,,,研究室向け研究報告機能の開発
H18,情報科学科,有田研,,,,,車椅子に搭載する位置測定機器の開発に関する研究
H18,情報科学科,宮崎研,,,,,離散コサイン変換による画像の電子透かし
H18,情報科学科,松永研,,,,,安全運転管理教育システム（ASSIST）における車載システムの障害対策
H18,情報科学科,朝廣研,,,,,難易度を基準とした語句レベルマップの作成
H18,情報科学科,稲永研,,,,,MIDIを用いた楽曲製作・編集ソフトウェアの開発
H18,情報科学科,アプドゥハン研,,,,,セマンティックグリッド・フレームワークプロトタイプの試作
H18,情報科学科,宮崎研,,,,,画素置換型の電子透かしによる画像のプロテクト
H18,情報科学科,一ノ瀬研,,,,,聴覚に対する意識とDelayed Auditory Feedback(DAF)の影響の個人差について
H18,情報科学科,合志研,,,,,iアプリ版安全運転助言検査システム
H18,情報科学科,牛島研,,,,,RFIDを用いたRFID学習支援ツールの設計
H18,情報科学科,牛島研,,,,,RFIDタグを用いたパソコン組み立て教育支援システムの提案
H18,情報科学科,松本研,,,,,モバイルコマースの業務プロセス改善とシミュレーション
H18,情報科学科,下川研,,,,,情報科学部で適用可能なシンクライアントの構築
H18,情報科学科,宮崎研,,,,,RFIDを用いた自動販売機システムの設計と検討
H18,情報科学科,石田健研,,,,,CIP法を利用した1次元電磁波伝搬シミュレータの作成
H18,情報科学科,成研,,,,,Ajaxによる「情報科学部授業体験 on the Web」の操作性の改良
H18,情報科学科,宮崎研,,,,,自動販売機へのRFIDの応用
H18,情報科学科,合志研,,,,,貨物輸送における積荷の品質管理システム
H18,情報科学科,朝廣研,,,,,格子上データの反転問題における状態遷移に関する解析とシミュレーション
H18,情報科学科,合志研,,,,,安全運転管理教育システム（ASSIST）におけるLinux版運転挙動記録ソフトウェア
H18,情報科学科,牛島研,,,,,電力計測に基づく省エネルギー対策の立案
H18,情報科学科,合志研,,,,,ステレオカメラによる距離測定装置
H18,情報科学科,石田健研,,,,,FDTD法を利用した2次元電磁波伝搬シミュレータの作成
H18,情報科学科,合志研,,,,,ドライビングシミュレータ用筐体型運転装置インタフェース
H18,情報科学科,アプドゥハン研,,,,,クラスタコンピューティング教育のためのユーザフレンドリーなインターフェイスの試作
H18,情報科学科,相研,,,,,Linuxサーバの構築と管理及び携帯電話による出席確認システムの構築・運用
H18,情報科学科,稲永研,,,,,データベースを用いた数学重視のSPIオンライントレーニングシステムの作成
H18,情報科学科,石田健研,,,,,衛星通信検討のための九州地域おける降雨データ解析 －2002～2004データ解析－
H18,情報科学科,アプドゥハン研,,,,,セマンティックグリッド・フレームワークシミュレーションの試作
H18,情報科学科,澤田研,,,,,あみだくじを題材としたロボット教材によるプログラム教育の研究
H18,情報科学科,坂本研,,,,,オーダーメイド医療のための体内薬物動態解析
H18,情報科学科,澤田研,,,,,ＦＰＧＡロボットを用いたＨＷ／ＳＷ教育カリキュラムの研究
H18,情報科学科,宮崎研,,,,,多重解像度解析を用いた画像に対する電子透かしの埋め込み
H18,情報科学科,澤田研,,,,,ＰＩＣタイマーを用いた組込みソフトウェア教育カリキュラムの研究～応用～
H18,情報科学科,相研,,,,,Webサーバ構築およびWebアプリケーションの作成
H18,情報科学科,下川研,,,,,講義記録システムの授業別・アンケート結果別・視聴時期別アクセス解析
H18,情報科学科,有田研,,,,,車椅子搭載型周辺環境調査機器開発の研究
H18,情報科学科,米元研,,,,,手書きスケッチに基づくモデリングツールの研究
H18,情報科学科,米元研,,,,,ボクセルカラーリングツールの開発
H18,情報科学科,澤田研,,,,,ＦＰＧＡロボットのためのＩＰとしての８ｂｉｔＣＰＵの検討
H18,情報科学科,米元研,,,,,画像の大きさと傾きを考慮したイメージモザイキング
H18,情報科学科,合志研,,,,,移動効率体験用ドライビングシミュレータ
H18,情報科学科,合志研,,,,,交差点における一時停止教育用ドライビングシミュレータ
H18,情報科学科,一ノ瀬研,,,,,音響特性測定に関するソフトの比較
H18,情報科学科,宮崎研,,,,,情報セキュリティ講義支援システムの開発
H18,情報科学科,合志研,,,,,ドライビングシミュレータ用コースエディタ
H18,情報科学科,安部研,,,,,時間割作成問題のモデル化とアニーリング法による解法
H18,情報科学科,坂本研,,,,,生体内シグナル伝達機構の基礎反応過程の動的挙動解析
H18,情報科学科,稲永研,,,,,車椅子利用者の為の交通手段検索システムの開発
H18,情報科学科,一ノ瀬研,,,,,アクティブノイズキャンセリングヘッドフォンの特性の比較
H18,情報科学科,稲永研,,,,,Mozillaブラウザにおけるブックマークの色彩更新機能の追加
H18,情報科学科,安部研,,,,,タブーサーチを用いた時間割作成方式　
H18,情報科学科,下川研,,,,,Visual Basicを用いた研究時間記録システムの構築
H18,情報科学科,松永研,,,,,安全運転管理教育システム（ASSIST）における自己管理用表示装置
H18,情報科学科,花野井研,,,,,手書き数字OCRの評価
H18,情報科学科,成研,,,,,ソーシャルネットワークによる履修支援
H18,情報科学科,有田研,,,,,手動車椅子の駆動エネルギー測定によるバリア度に関する研究
H18,情報科学科,坂本研,,,,,塩基配列相同性検索による低分子量Ｇ蛋白質の構造比較
H18,情報科学科,花野井研,,,,,ニューラルネットワークを利用した交通標識画像の位置認識の研究
H18,情報科学科,牛島研,,,,,視覚障害とWebアクセシビリティの研究～ユニバーサルデザインを目指したWeb設計方法論～
H18,情報科学科,松本研,,,,,大規模小売店の業務プロセス改善
H18,情報科学科,朝廣研,,,,,お互いに取れない位置にチェスの駒を配置する問題 ―ポーンとルークの場合―
H18,情報科学科,仲研,,,,,生物情報データベースの調査
H18,情報科学科,仲研,,,,,調査繰り返し型囚人のジレンマ(IPD)のバリエーションと戦略の調査
H18,情報科学科,松永研,,,,,安全運転管理教育システム（ASSIST）における安全運転度評価ソフトウェア
H18,情報科学科,相研,,,,,サーバ構築とセキュリティの強化及びXAMPPによるWebアプリケーションの作成
H18,情報科学科,花野井研,,,,,盲導ロボットの資格認識ー標識抽出を用いた情景画像からの交通標識の抽出ー
H18,情報科学科,安部研,,,,,ビークルルーティング問題に対する遺伝アルゴリズムの適用
H18,情報科学科,松本研,,,,,講義ノート共有閲覧システムの試作と評価
H18,情報科学科,一ノ瀬研,,,,,PHPとPostgreSQLを使った履修状況確認システムの構築
H18,情報科学科,仲研,,,,,格子ガスオートマトンによる生化学反応拡散系のシミュレーション
H18,情報科学科,成研,,,,,研究室配属希望調査Webシステムの現状分析及び改善方法の提案
H18,情報科学科,アプドゥハン研,,,,,非同期P2Pコンピューティングシステム設計に関する調査
H18,情報科学科,牛島研,,,,,情報科学部へのシンクライアント導入における問題点と解決策
H18,情報科学科,松本研,,,,,モデリング言語の理解度の分析
H18,情報科学科,松本研,,,,,ARISによる業務プロセスの改革
H18,情報科学科,松永研,,,,,立位姿勢における足型測定の自動化及び重心・足圧測定システムの開発研究
H18,情報科学科,下川研,,,,,パスワード一括管理システムの構築
H18,情報科学科,牛島研,,,,,サーチエンジンを用いた検索結果の情報量と大学の人気度の関連性
H18,情報科学科,安部研,,,,,複数地点間経路探索の効率化方式　
H18,情報科学科,アプドゥハン研,,,,,非同期P2Pベースのグリッドリソース発見に向けての試案
H18,情報科学科,松本研,,,,,EPCの活用によるインターネットショッピング業務プロセスの改善
H18,情報科学科,松本研,,,,,UMLモデリング能力の個人差の検証
H18,情報科学科,下川研,,,,,学生数の定常化に注目した講義記録システムアクセス解析
H18,情報科学科,花野井研,,,,,看板文字の高精度認識方式の開発
H18,情報科学科,米元研,,,,,衣服の色認識に基づいた宣伝広告の情報提示
H18,情報科学科,成研,,,,,本人認証を有する研究時間登録システムの開発
H18,情報科学科,花野井研,,,,,多数決文字認識方式の研究
H18,情報科学科,花野井研,,,,,人工無脳（会話プログラム）－調査・比較と提案－
H18,情報科学科,一ノ瀬研,,,,,ホーンドライバーによる声道模型の駆動方法の検討
H18,情報科学科,花野井研,,,,,盲導ロボットの資格認識～交通標識写真の収集と画像データベースの設計開発～
H18,情報科学科,米元研,,,,,色情報を用いたビジュアルタグに関する研究
H18,情報科学科,成研,,,,,SQLiteを用いた手軽に使える講義ページ運用支援システムの開発
H18,情報科学科,澤田研,,,,,ＦＰＧＡロボットのためのＩＰとしての８ｂｉｔＣＰＵの検討
H18,情報科学科,米元研,,,,,実物体マーカーを利用した仮想空間の操作
H18,情報科学科,稲永研,,,,,オンラインレポートシステムにおけるAjaxを利用した描画解答ツールの開発
H18,情報科学科,稲永研,,,,,暴言を制限するNGワード機能を追加したチャットシステム作成
H18,情報科学科,澤田研,,,,,ＰＩＣタイマーを用いた組込みソフトウェア教育カリキュラムの研究～導入～
H18,情報科学科,澤田研,,,,,ＰＩＣタイマーを用いた組込みソフトウェア教育カリキュラムの研究～展開～
H18,情報科学科,宮崎研,,,,,ISMS認証基準に基づく情報科学部のセキュリティ評価
H18,情報科学科,下川研,,,,,DHCPサーバーのログを利用した研究時間記録支援システム
H18,情報科学科,稲永研,,,,,データベースを用いたゴルフのオンライン成績管理システムの開発
H18,情報科学科,花野井研,,,,,盲導ロボットの資格認識ーVB.NETによる風景写真からの交通標識の抽出ー
H18,情報科学科,花野井研,,,,,C言語による風景写真からの交通標識の色抽出プログラム
H18,情報科学科,一ノ瀬研,,,,,オンライン出席管理のための個人認証システムの構築
H18,情報科学科,花野井研,,,,,OCR機能を用いた文字の読み取りの研究
H18,情報科学科,廣田研,,,,,ER図の自動生成
H18,情報科学科,花野井研,,,,,手書き数字の認識限界の研究
H18,情報科学科,仲研,,,,,バイオインフォマティクスに用いられるプログラミング言語の調査
H18,情報科学科,廣田研,,,,,UML演習ツールの評価と改善
H18,情報科学科,花野井研,,,,,人に読み取りやすく機械に読み取りにくい文字（漢字）の研究
H18,情報科学科,下川研,,,,,ストリーミング配信システムの運用
H18,情報科学科,安部研,,,,,カーナビゲーションにおける経路探索の効率化
H18,情報科学科,一ノ瀬研,,,,,Perl・CGIによるオンラインテスト作成の効率化
H18,情報科学科,下川研,,,,,Webプロキシサーバーを利用した講義室ネットワークアクセス制御システム
H18,情報科学科,合志研,,,,,講義記録システムにおけるチャプターマークシステム
H18,情報科学科,アプドゥハン研,,,,,セマンティックグリッド・フレームワークリソース管理に関する考察
H18,情報科学科,有田研,,,,,出席管理システム実用化に関する研究
H18,情報科学科,下川研,,,,,Webを用いた図書管理システムの構築
H18,情報科学科,仲研,,,,,PHPによる仲研究室Webサイトの試作
H18,情報科学科,廣田研,,,,,システム開発演習の実施と評価
H19,情報科学科,合志研,,,,,Web上で動作する質問型KM式安全運転助言検査システムの開発
H19,情報科学科,廣田研,,,,,CMMIの卒業研究プロセスへの適用
H19,情報科学科,石田健研,,,,,マイクロ波による導体円柱径の推定
H19,情報科学科,仲研,,,,,仲研究室Web図書館の設計
H19,情報科学科,仲研,,,,,バイオインフォマティクスにおけるデータベースとツールの調査
H19,情報科学科,仲研,,,,,生態系コンピュータシミュレーションの調査
H19,情報科学科,坂本研,,,,,細胞内シグナル伝達機構の基礎反応過程の動的挙動解析
H19,情報科学科,松永研,,,,,安全運転管理教育システムASSISTにおける運転行動データのWeb上での再生ソフトウェアの開発
H19,情報科学科,朝廣研,,,,,物体が等速かつ一方向に移動するオンライン移動物体回収問題
